,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D
267,8x8,200.0,9%,1/18/2023,EGHT,0.33,7.53
271,Roku,200.0,7%,11/17/2022,ROKU,-2.05,-3.63
272,GoPro,200.0,20%,4/15/2020,GPRO,0.18,6.77
273,Roku,200.0,6%,3/30/2023,ROKU,4.5,7.3
275,DigitalOcean,200.0,11%,2/15/2023,DOCN,0.65,1.97
277,Unity,200.0,4%,6/29/2022,U,2.81,7.11
281,LivePerson,193.0,11%,9/15/2022,LPSN,-1.75,-14.76
283,Five9,190.0,7%,8/20/2024,FIVN,-0.53,-1.55
286,Oportun,185.0,7%,3/8/2024,OPRT,0.03,0.83
288,BuzzFeed,180.0,15%,4/20/2023,BZFD,-0.92,-30.53
289,Okta,180.0,3%,2/4/2025,OKTA,3.25,3.44
290,Planet,180.0,17%,6/28/2024,PL,-0.05,-2.69
291,Asana,180.0,9%,11/15/2022,ASAN,-4.62,-20.97
294,BuzzFeed,180.0,12%,12/6/2022,BZFD,-0.28,-6.54
295,Zscaler,177.0,3%,3/3/2023,ZS,-4.29,-3.6
296,Sonos,174.0,12%,6/24/2020,SONO,0.66,4.79
297,View,170.0,23%,4/4/2023,VRAYQ,-0.13,-3.99
299,Enovix,170.0,33%,5/6/2024,ENVX,-1.27,-12.99
301,Jamf,166.0,6%,7/15/2025,JAMF,0.06,0.74
303,SiriusXM,160.0,3%,3/17/2024,SIRI,-1.41,-3.72
306,8x8,155.0,7%,1/18/2023,EGHT,0.33,7.53
307,Oportun,155.0,10%,3/1/2023,OPRT,-0.42,-6.98
308,NuScale Power,154.0,28%,1/6/2024,SMR,-0.28,-10.69
312,Coursera,150.0,10%,10/30/2024,COUR,-0.07,-0.99
313,Blend,150.0,19%,8/11/2023,BLND,-0.25,-16.67
316,Netflix,150.0,1%,5/17/2022,NFLX,-3.12,-1.64
317,LendingTree,150.0,13%,3/31/2023,TREE,-2.34,-8.78
318,Rivian,150.0,1%,5/11/2024,RIVN,0.14,1.4
321,Zoom,150.0,2%,2/1/2024,ZM,-1.25,-1.93
323,Robinhood,150.0,7%,6/26/2023,HOOD,0.35,3.63
324,AppFolio,149.0,9%,8/18/2023,APPF,18.01,10.79
325,Criteo,140.0,4%,4/12/2024,CRTO,-0.41,-1.19
326,Luminar,140.0,20%,5/3/2024,LAZR,4.2,16.67
327,Pagaya,140.0,20%,1/18/2023,PGY,0.97,8.36
328,DraftKings,140.0,4%,2/1/2023,DKNG,0.47,2.85
329,Upstart,140.0,7%,11/1/2022,UPST,-3.55,-16.01
330,Rivian,140.0,1%,6/27/2025,RIVN,-0.73,-5.37
331,GoodRx,140.0,16%,8/31/2022,GDRX,-0.2,-3.28
333,GoPro,139.0,15%,8/20/2024,GPRO,-0.03,-2.27
334,Bird,138.0,23%,6/7/2022,BIRD,-18.0,-16.64
335,Upwork,137.0,15%,5/3/2023,UPWK,-0.1,-1.23
336,Edgio,134.0,12%,6/9/2023,EGIOQ,-2.43,-11.76
337,Nikola,130.0,15%,10/16/2024,NKLAQ,-0.12,-2.88
338,CarGurus,130.0,13%,4/16/2020,CARG,-0.28,-1.47
339,Guardant Health,130.0,7%,1/25/2023,GH,-0.76,-2.4
340,Quanterix,130.0,25%,11/16/2022,QTRX,0.1,0.85
341,GitLab,130.0,7%,2/9/2023,GTLB,4.95,11.71
342,Latch,130.0,28%,5/21/2022,LTCH,0.01,0.46
343,Sonos,130.0,7%,6/14/2023,SONO,0.32,2.04
344,Bark,126.0,12%,2/9/2023,BARK,-0.57,-29.08
345,TripAdvisor,125.0,4%,12/22/2023,TRIP,0.03,0.14
348,Five9,123.0,4%,4/16/2025,FIVN,-1.03,-4.55
353,BioMarin,120.0,4%,11/19/2022,BMRN,9.48,10.73
354,F5,120.0,2%,11/6/2023,FFIV,4.52,2.93
355,Vroom,120.0,11%,4/27/2023,VRME,0.08,4.6
358,Planet,117.0,10%,8/1/2023,PL,-0.39,-10.34
359,Sprinklr,116.0,3%,5/3/2024,CXM,0.81,6.79
360,Latch,115.0,37%,8/4/2022,LTCH,0.09,8.74
361,Freshworks,114.0,2%,3/16/2023,FRSH,-0.06,-0.43
364,Varonis,110.0,5%,11/6/2022,VRNS,4.2,25.32
365,Inspirato,109.0,12%,1/19/2023,ISPO,0.6,2.29
367,F5,106.0,2%,8/18/2025,FFIV,0.97,0.31
368,Sonder,106.0,17%,2/20/2024,SOND,2.45,80.59
369,iRobot,105.0,16%,11/7/2024,IRBT,-0.02,-0.29
370,TrueCar,102.0,24%,6/14/2023,TRUE,-0.31,-12.35
372,F5,100.0,2%,10/29/2024,FFIV,-9.13,-3.8
373,nCino,100.0,7%,1/18/2023,NCNO,-1.53,-5.45
374,Taboola,100.0,6%,9/13/2022,TBLA,-0.21,-8.64
376,F5,100.0,1%,11/16/2022,FFIV,4.51,3.04
378,Doximity,100.0,10%,8/8/2023,DOCS,-9.58,-29.22
380,Pagaya,100.0,20%,6/5/2024,PGY,0.29,2.46
384,10X Genomics,100.0,8%,8/4/2022,TXG,2.38,5.59
385,Eventbrite,100.0,11%,8/8/2024,EB,-0.72,-18.95
386,Sonder,100.0,14%,3/1/2023,SOND,2.0,9.9
387,Sonos,100.0,6%,8/14/2024,SONO,0.18,1.61
389,Adaptive Biotechnologies,100.0,12%,5/29/2022,ADPT,-1.28,-15.57
394,Blend,100.0,6%,12/8/2022,BLND,0.05,4.35
397,Sprinklr,100.0,4%,2/15/2023,CXM,-0.26,-2.35
403,Amplitude,99.0,13%,4/5/2023,AMPL,-0.22,-1.84
405,BlackLine,95.0,5%,8/24/2023,BL,4.7,8.97
406,Edgio,95.0,10%,12/14/2022,EGIOQ,-4.4,-8.53
408,Digimarc,90.0,40%,3/4/2025,DMRC,-0.33,-2.23
409,Domo,90.0,10%,4/10/2020,DOMO,3.27,27.9
411,Freshworks,90.0,2%,12/15/2022,FRSH,-0.13,-0.89
418,Olo,81.0,11%,6/14/2023,OLO,-0.3,-4.07
420,AudioCodes,80.0,6%,7/16/2023,AUDC,-0.29,-3.17
421,Eventbrite,80.0,8%,2/28/2023,EB,0.12,1.37
424,Edgio,80.0,10%,3/7/2024,EGIOQ,0.16,2.0
425,AudioCodes,80.0,6%,5/9/2023,AUDC,-1.54,-16.99
426,Chegg,80.0,4%,6/13/2023,CHGG,-0.81,-7.63
